Num,1. Accelerator Pedal Position (APP) Indicated Angle (Cylinder 5 Instrument Cluster (IC) Circuit Open Test Status),2. Air Conditioning (A/C) Relay Command (Cylinder 5 Instrument Cluster (IC) Circuit Short Gnd Test Status),3. Air Flow Calculated (Cylinder 5 Instrument Cluster (IC) Circuit Short Volts Test Status),4. Calculated Three Way Catalyst (TWC) Temperature Bank 1 (Cylinder 6 Injector Circuit Open Test Status),5. Calculated Three Way Catalyst (TWC) Temperature Bank 2 (Cylinder 6 Injector Circuit Short Gnd Test Status),6. Camshaft Position (CMP) Sensor (Cylinder 6 Injector Circuit Short Volts Test Status),7. Cycles Of Misfire Data (Cylinder 6 Instrument Cluster (IC) Circuit Open Test Status),8. Cylinder 1 Injector Circuit Open Test Status (Cylinder 6 Instrument Cluster (IC) Circuit Short Gnd Test Status),9. Cylinder 1 Injector Circuit Short Gnd Test Status (Cylinder 6 Instrument Cluster (IC) Circuit Short Volts Test Status),10. Cylinder 1 Injector Circuit Short Volts Test Status (Cylinder 7 Injector Circuit Open Test Status),11. Cylinder 1 Instrument Cluster (IC) Circuit Open Test Status (Cylinder 7 Injector Circuit Short Gnd Test Status),12. Cylinder 1 Instrument Cluster (IC) Circuit Short Gnd Test Status (Cylinder 7 Injector Circuit Short Volts Test Status),13. Cylinder 1 Instrument Cluster (IC) Circuit Short Volts Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Open Test Status),14. Cylinder 2 Injector Circuit Open Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Short Gnd Test Status),15. Cylinder 2 Injector Circuit Short Gnd Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Short Volts Test Status),16. Cylinder 2 Injector Circuit Short Volts Test Status (Cylinder 8 Injector Circuit Open Test Status),17. Cylinder 2 Instrument Cluster (IC) Circuit Open Test Status (Cylinder 8 Injector Circuit Short Gnd Test Status),18. Cylinder 2 Instrument Cluster (IC) Circuit Short Gnd Test Status (Cylinder 8 Injector Circuit Short Volts Test Status),19. Cylinder 2 Instrument Cluster (IC) Circuit Short Volts Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Open Test Status),20. Cylinder 3 Injector Circuit Open Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Short Gnd Test Status),21. Cylinder 3 Injector Circuit Short Gnd Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Short Volts Test Status),22. Cylinder 3 Injector Circuit Short Volts Test Status (Cylinder Deactivation Performance Test),23. Cylinder 3 Instrument Cluster (IC) Circuit Open Test Status (Engine Coolant Temperature (ECT) Sensor),24. Cylinder 3 Instrument Cluster (IC) Circuit Short Gnd Test Status (Engine Load),25. Cylinder 3 Instrument Cluster (IC) Circuit Short Volts Test Status (Engine Oil Pressure Sensor),26. Cylinder 4 Injector Circuit Open Test Status (Engine Run Time),27. Cylinder 4 Injector Circuit Short Gnd Test Status (Engine Speed),28. Cylinder 4 Injector Circuit Short Volts Test Status (Fuel Tank Level Remaining),29. Cylinder 4 Instrument Cluster (IC) Circuit Open Test Status (Ignition 1 Signal),30. Cylinder 4 Instrument Cluster (IC) Circuit Short Gnd Test Status (Injector 1 Disabled Due To Misfire),31. Cylinder 4 Instrument Cluster (IC) Circuit Short Volts Test Status (Injector 2 Disabled Due To Misfire),32. Cylinder 5 Injector Circuit Open Test Status (Injector 3 Disabled Due To Misfire),33. Cylinder 5 Injector Circuit Short Gnd Test Status (Injector 4 Disabled Due To Misfire),34. Cylinder 5 Injector Circuit Short Volts Test Status (Injector 5 Disabled Due To Misfire)
234,0,50,0,0,8,0,2,0,1,553,0,Inactive,31,18.684,102,0,0.500,Off,5.930,294,294,529,63,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
235,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
236,OK,OK,OK,OK,50,21.961,324,00:04:02,550,98.931,14.293,No,No,No,No,No,No,No,No,2.569,2.434,13,No,38,6.870,0,0,0,0,0,0,50,0,0
237,8,0,2,0,1,553,0,Inactive,32.500,18.547,102,0,0.500,Off,6.531,294,294,604,65,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
238,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
239,50,20.392,328,00:04:02,613.250,98.931,14.343,No,No,No,No,No,No,No,No,2.329,2.254,13,No,37,6.390,0,0,0,0,0,0,50,0,0,8,0,2,0
240,1,553,0,Inactive,23,18.254,102,0,0.500,Off,6.023,294,294,593,67,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
241,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.216,328,00:04:02
242,595.500,98.931,14.318,No,No,No,No,No,No,No,No,2.118,2.043,13,No,35,6.040,0,0,0,0,0,0,50,0,0,8,0,2,0,1,553,0,Inactive
243,25.500,17.824,102,0,0.500,Off,5.742,294,294,558,69,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
244,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.608,328,00:04:03,564,98.931,14.244,No
245,No,No,No,No,No,No,No,2.133,2.028,13,No,35,6.050,0,0,0,0,0,0,52,0,0,8,0,2,0,1,553,0,Inactive,30.500,17.824,102,0
246,0.500,Off,5.523,294,294,499,70,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
247,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,20,320,00:04:03,483.750,98.931,14.044,No,No,No,No,No
248,No,No,No,2.359,2.239,13,No,36,6.380,0,2,0,0,0,0,54,0,0,8,0,2,0,1,553,0,Inactive,31,18.117,102,0,0.500,Off,6.039,294
249,294,544,72,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
250,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,21.569,328,00:04:04,524.750,98.931,14.318,No,No,No,No,No,No,No,No,2.509
251,2.389,13,No,38,6.680,0,2,0,0,0,0,58,0,0,8,0,2,0,1,553,0,Inactive,32,18.117,102,0,0.500,Off,6.555,294,294,614,74,OK
252,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
253,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.608,328,00:04:04,622,98.931,14.318,No,No,No,No,No,No,No,No,2.254,2.133,13,No,36
254,6.320,0,2,0,0,0,0,60,0,0,8,0,2,0,1,553,0,Inactive,21.500,18.117,102,0,0.500,Off,6.078,294,294,603,76,OK,OK,OK,OK,OK
255,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
256,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.216,328,00:04:04,603.750,98.931,14.244,No,No,No,No,No,No,No,No,2.103,1.998,13,No,34,6.060,0,2,0
257,0,0,0,62,0,0,8,0,2,0,1,553,0,Inactive,22.500,17.980,102,0,0.500,Off,5.367,294,294,531,78,OK,OK,OK,OK,OK,OK,OK,OK,OK
258,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
259,OK,OK,OK,OK,OK,OK,50,19.608,324,00:04:05,533.750,98.931,14.244,No,No,No,No,No,No,No,No,2.239,2.118,13,No,35,6.120,0,2,0,0,0,0,62
260,0,0,8,0,2,0,1,553,0,Inactive,31,17.980,102,0,0.500,Off,5.445,294,294,492,79,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
261,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
262,OK,OK,50,21.569,324,00:04:05,505,98.931,13.995,No,No,No,No,No,No,No,No,2.479,2.359,13,No,37,6.480,0,2,0,0,0,0,66,0,0,8,0
263,2,0,1,553,0,Inactive,32,18.391,102,0,0.500,Off,6.141,294,294,545,81,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
264,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,21.569
265,324,00:04:06,548,98.931,14.268,No,No,No,No,No,No,No,No,2.569,2.434,13,No,38,6.790,0,4,0,0,0,0,68,0,0,8,0,2,0,1,553
266,0,Inactive,32.500,18.547,102,0,0.500,Off,6.586,294,294,606,83,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
267,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.608,332,00:04:06,603.500,98.931
268,14.218,No,No,No,No,No,No,No,No,2.194,2.088,13,No,36,6.100,0,4,0,0,0,0,70,0,0,8,0,2,0,1,553,0,Inactive,21,17.824
269,102,0,0.500,Off,5.711,294,294,566,85,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
270,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,20,324,00:04:06,537,98.931,14.244,No,No,No
271,No,No,No,No,No,2.163,2.058,13,No,35,6.130,0,4,0,0,0,0,72,0,0,8,0,2,0,1,553,0,Inactive,28.500,17.980,102,0,0.500,Off
272,5.180,294,294,500,87,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
273,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,22.353,324,00:04:07,505.750,98.931,14.244,No,No,No,No,No,No,No
274,No,2.494,2.359,13,No,37,6.770,0,4,0,0,0,0,74,0,0,8,0,2,0,1,553,0,Inactive,31.500,18.547,102,0,0.500,Off,5.922,294,294,507
275,88,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
276,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,21.961,324,00:04:07,525.500,98.931,14.244,No,No,No,No,No,No,No,No,2.614,2.479,13
277,No,39,6.580,0,4,0,0,0,0,78,0,0,8,0,2,0,1,553,0,Inactive,32.500,18.391,102,0,0.500,Off,6.734,294,294,581,90,OK,OK,OK
278,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
279,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.216,328,00:04:08,591.750,98.931,14.268,No,No,No,No,No,No,No,No,2.239,2.133,13,No,36,6.290,0
280,4,0,0,0,0,82,0,0,8,0,2,0,1,553,0,Inactive,25.500,17.824,102,0,0.500,Off,5.695,294,294,539,92,OK,OK,OK,OK,OK,OK,OK
281,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
282,OK,OK,OK,OK,OK,OK,OK,OK,50,19.216,324,00:04:08,550,98.931,14.218,No,No,No,No,No,No,No,No,2.118,2.028,13,No,34,6.120,0,4,0,0,0
283,0,84,0,0,8,0,2,0,1,553,0,Inactive,30.500,17.824,102,0,0.500,Off,5.453,294,294,497,94,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
284,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
285,OK,OK,OK,OK,50,21.176,324,00:04:08,487.750,98.931,14.244,No,No,No,No,No,No,No,No,2.389,2.269,13,No,36,6.530,0,4,0,0,0,0,86,0,0
286,8,0,2,0,1,553,0,Inactive,31.500,18.391,102,0,0.500,Off,5.828,294,294,507,96,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
287,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
288,50,23.529,324,00:04:09,530.750,98.931,14.293,No,No,No,No,No,No,No,No,2.719,2.569,13,No,40,7.270,0,4,0,0,0,0,88,0,0,8,0,2,0
289,1,553,0,Inactive,33,19.113,102,0,0.500,Off,6.547,294,294,615,98,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
290,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.608,332,00:04:09
291,638.750,98.931,14.368,No,No,No,No,No,No,No,No,2.269,2.163,13,No,36,6.380,0,4,0,0,0,0,92,0,0,8,0,2,0,1,553,0,Inactive
292,20,17.980,102,0,0.500,Off,5.789,294,294,580,0,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
293,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.216,328,00:04:10,588.750,98.931,14.244,No
294,No,No,No,No,No,No,No,2.088,1.983,13,No,34,6.020,0,4,0,0,0,0,94,0,0,8,0,2,0,1,553,0,Inactive,26,17.688,102,0
295,0.500,Off,5.445,294,294,542,2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
296,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,20.392,328,00:04:10,536,98.931,14.268,No,No,No,No,No
297,No,No,No,2.239,2.103,13,No,35,6.290,0,0,0,0,0,0,2,0,0,12,0,2,0,1,647,0,Inactive,31,17.980,98,0,0.500,Off,5.719,294
298,294,484,3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
299,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,21.569,324,00:04:10,477,98.931,13.919,No,No,No,No,No,No,No,No,2.569
300,2.449,13,No,38,6.870,0,0,0,0,0,0,2,0,0,12,0,2,0,1,647,0,Inactive,32,18.547,98,0,0.500,Off,6.859,294,294,589,5,OK
301,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
302,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,20.392,324,00:04:11,582.500,98.931,14.244,No,No,No,No,No,No,No,No,2.404,2.254,13,No,37
303,6.480,0,0,0,0,0,0,4,0,0,12,0,2,0,1,647,0,Inactive,24.500,18.254,98,0,0.500,Off,6.320,294,294,617,7,OK,OK,OK,OK,OK
304,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
305,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.608,332,00:04:11,620.500,98.931,14.293,No,No,No,No,No,No,No,No,2.148,2.043,13,No,35,6.180,0,0,0
306,0,0,0,6,0,0,12,0,2,0,1,647,0,Inactive,21.500,17.980,98,0,0.500,Off,5.695,294,294,582,9,OK,OK,OK,OK,OK,OK,OK,OK,OK
307,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
308,OK,OK,OK,OK,OK,OK,50,19.216,320,00:04:12,585.750,98.931,14.244,No,No,No,No,No,No,No,No,2.058,1.938,13,No,34,5.960,0,0,0,0,0,0,8
309,0,0,12,0,2,0,1,647,0,Inactive,26.500,17.824,98,0,0.500,Off,5.172,294,294,518,11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
310,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
311,OK,OK,50,19.608,328,00:04:12,514.750,98.931,14.218,No,No,No,No,No,No,No,No,2.178,2.058,13,No,35,6,0,0,0,0,0,0,8,0,0,12,0
312,2,0,1,647,0,Inactive,30.500,17.824,98,0,0.500,Off,5.109,294,294,436,12,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
313,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,23.529
314,320,00:04:12,455.250,98.931,13.845,No,No,No,No,No,No,No,No,2.779,2.734,13,No,40,7.070,0,0,0,0,0,0,10,0,0,12,0,2,0,1,647
315,0,Inactive,33,18.820,98,0,0.500,Off,7.398,294,294,605,14,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
316,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,20,328,00:04:13,608.250,98.931
317,14.268,No,No,No,No,No,No,No,No,2.464,2.314,13,No,38,6.390,0,0,0,0,0,0,10,0,0,12,0,2,0,1,647,0,Inactive,23,17.980
318,98,0,0.500,Off,6.633,294,294,617,16,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
319,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,18.824,332,00:04:13,606.250,98.931,14.318,No,No,No
320,No,No,No,No,No,2.028,1.893,13,No,34,5.900,0,0,0,0,0,0,12,0,0,12,0,2,0,1,647,0,Inactive,18.500,17.551,98,0,0.500,Off
321,5.461,294,294,525,18,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
322,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,18.824,324,00:04:14,489.500,98.931,14.094,No,No,No,No,No,No,No
323,No,2.103,2.013,13,No,34,6.010,0,0,0,0,0,0,14,0,0,12,0,2,0,1,647,0,Inactive,30.500,17.688,98,0,0.500,Off,5.484,294,294,499
324,20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
325,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,22.745,324,00:04:14,506.500,98.931,14.293,No,No,No,No,No,No,No,No,2.599,2.464,13
326,No,38,6.990,0,0,0,0,0,0,18,0,0,12,0,2,0,1,647,0,Inactive,32,18.684,98,0,0.500,Off,5.969,294,294,564,22,OK,OK,OK
327,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
328,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,19.608,328,00:04:14,587,98.931,14.393,No,No,No,No,No,No,No,No,2.329,2.224,13,No,37,6.260,0
329,0,0,0,0,0,18,0,0,12,0,2,0,1,647,0,Inactive,28,17.980,98,0,0.500,Off,6.234,294,294,594,24,OK,OK,OK,OK,OK,OK,OK
330,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
331,OK,OK,OK,OK,OK,OK,OK,OK,51,19.608,328,00:04:15,585.500,98.931,14.343,No,No,No,No,No,No,No,No,2.118,2.028,13,No,35,6.010,0,0,0,0,0
332,0,20,0,0,12,0,2,0,1,647,0,Inactive,23.500,17.824,98,0,0.500,Off,5.461,294,294,548,26,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
333,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
334,OK,OK,OK,OK,51,18.824,328,00:04:15,546.750,98.931,14.318,No,No,No,No,No,No,No,No,2.103,1.998,13,No,34,5.900,0,0,0,0,0,0,20,0,0
335,12,0,2,0,1,647,0,Inactive,30.500,17.688,98,0,0.500,Off,5.305,294,294,482,27,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
336,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
337,51,20,324,00:04:16,466.750,98.931,14.069,No,No,No,No,No,No,No,No,2.404,2.284,13,No,37,6.400,0,0,0,0,0,0,22,0,0,12,0,2,0
338,1,647,0,Inactive,31,18.957,98,0,0.500,Off,6.086,294,294,534,29,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
339,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,21.176,324,00:04:16
340,548,98.931,14.368,No,No,No,No,No,No,No,No,2.599,2.464,13,No,39,6.670,0,0,0,0,0,0,22,0,0,12,0,2,0,1,647,0,Inactive
341,32.500,18.117,98,0,0.500,Off,6.258,294,294,631,31,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
342,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,19.608,328,00:04:16,634,98.931,14.318,No
343,No,No,No,No,No,No,No,2.269,2.148,13,No,36,6.310,0,0,0,0,0,0,24,0,0,12,0,2,0,1,647,0,Inactive,18.500,17.824,98,0
344,0.500,Off,5.812,294,294,588,33,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
345,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,19.216,332,00:04:17,580.750,98.931,14.318,No,No,No,No,No
346,No,No,No,2.088,1.983,13,No,34,5.950,0,0,0,0,0,0,26,0,0,12,0,2,0,1,647,0,Inactive,25,17.824,98,0,0.500,Off,5.211,294
347,294,509,35,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
348,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,20.784,324,00:04:17,509.250,98.931,14.194,No,No,No,No,No,No,No,No,2.314
349,2.178,13,No,36,6.280,0,0,0,0,0,0,28,0,0,12,0,2,0,1,647,0,Inactive,31,17.980,98,0,0.500,Off,5.672,294,294,511,36,OK
350,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
351,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,20.784,324,00:04:18,527.500,98.931,14.094,No,No,No,No,No,No,No,No,2.464,2.329,13,No,37
352,6.520,0,0,0,0,0,0,32,0,0,12,0,2,0,1,647,0,Inactive,32,18.254,98,0,0.500,Off,6.398,294,294,600,38,OK,OK,OK,OK,OK
353,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
354,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,51,19.608,324,00:04:18,591.250,98.931,14.417,No,No,No,No,No,No,No,No,2.254,2.148,13,No,36,6.220,0,0,0
355,0,0,0,34,0,0,12,0,2,0,1,647,0,Inactive,22.500,17.980,98,0,0.500,Off,5.938,294,294,564,40,OK,OK,OK,OK,OK,OK,OK,OK,OK
356,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
357,OK,OK,OK,OK,OK,OK,51,19.216,328,00:04:18,529.500,98.931,14.194,No,No,No,No,No,No,No,No,2.058,1.968,13,No,34,5.940,0,0,0,0,0,0,36
358,0,0,12,0,2,0,1,647,0,Inactive,27.500,17.688,98,0,0.500,Off,5.625,293,293,558,42,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
359,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
